id,"genre","name",calorie,"created_at","updated_at"
82,"肉のおかず","ささみチーズカツ",296,"0000-00-00 00:00:00","0000-00-00 00:00:00"
83,"肉のおかず","豚キムチ炒め",183,"0000-00-00 00:00:00","0000-00-00 00:00:00"
84,"肉のおかず","豚肉のウスターソース炒め",275,"0000-00-00 00:00:00","0000-00-00 00:00:00"
85,"肉のおかず","ポーク焼肉",239,"0000-00-00 00:00:00","0000-00-00 00:00:00"
86,"肉のおかず","チキンチーズカツ",243,"0000-00-00 00:00:00","0000-00-00 00:00:00"
100,"魚介のおかず","サバ塩焼き",319,"0000-00-00 00:00:00","0000-00-00 00:00:00"
101,"魚介のおかず","さば味噌煮",209,"2017-10-24 09:36:28","2017-10-24 09:36:28"
102,"魚介のおかず","さば生姜煮",194,"2017-10-24 09:36:29","2017-10-24 09:36:29"
103,"魚介のおかず","さんまの塩焼き",310,"0000-00-00 00:00:00","0000-00-00 00:00:00"
104,"魚介のおかず","ぶりの照り焼き",252,"0000-00-00 00:00:00","0000-00-00 00:00:00"
105,"魚介のおかず","アジの塩焼き",98,"0000-00-00 00:00:00","0000-00-00 00:00:00"
106,"魚介のおかず","ぶり大根",508,"2017-10-24 09:36:28","2017-10-24 09:36:28"
107,"魚介のおかず","焼き鮭",182,"2017-10-24 09:36:28","2017-10-24 09:36:28"
108,"魚介のおかず","鮭のムニエル",192,"2017-10-24 09:36:34","2017-10-24 09:36:34"
109,"魚介のおかず","めかじきソテー",326,"2017-10-24 09:36:28","2017-10-24 09:36:28"
110,"魚介のおかず","えびチリ",204,"2017-10-24 09:36:29","2017-10-24 09:36:29"
111,"魚介のおかず","白身魚の天ぷら",581,"2017-10-24 09:36:29","2017-10-24 09:36:29"
112,"魚介のおかず","かきフライ",491,"2017-10-24 09:36:35","2017-10-24 09:36:35"
113,"魚介のおかず","白身魚フライ",229,"0000-00-00 00:00:00","0000-00-00 00:00:00"
114,"魚介のおかず","白身魚フライ（タルタル）",464,"0000-00-00 00:00:00","0000-00-00 00:00:00"
115,"魚介のおかず","アジフライ",311,"0000-00-00 00:00:00","0000-00-00 00:00:00"
116,"魚介のおかず","漬けマグロ",212,"2017-10-24 09:36:28","2017-10-24 09:36:28"
117,"魚介のおかず","かきのクリーム煮",253,"2017-10-24 09:36:28","2017-10-24 09:36:28"
118,"魚介のおかず","イカフライ",208,"0000-00-00 00:00:00","0000-00-00 00:00:00"
119,"魚介のおかず","スンドゥブ",379,"0000-00-00 00:00:00","0000-00-00 00:00:00"
120,"魚介のおかず","さわらのクリームソース",389,"2017-10-24 09:36:29","2017-10-24 09:36:29"
200,"小鉢","オクラのお浸し",18,"2017-10-24 09:36:38","2017-10-24 09:36:38"
201,"小鉢","１５品目のヘルシーサラダ",85,"2017-10-24 09:36:38","2017-10-24 09:36:38"
202,"小鉢","コーンコールスロー",90,"2017-10-24 09:36:38","2017-10-24 09:36:38"
203,"小鉢","こうなごの南蛮漬け",77,"2017-10-24 09:36:38","2017-10-24 09:36:38"
204,"小鉢","煮卵",76,"2017-10-24 09:36:38","2017-10-24 09:36:38"
205,"小鉢","半熟卵",39,"2017-10-24 09:36:38","2017-10-24 09:36:38"
206,"小鉢","ほうれん草のゴマあえ",28,"2017-10-24 09:36:38","2017-10-24 09:36:38"
207,"小鉢","ひじき煮",52,"2017-10-24 09:36:38","2017-10-24 09:36:38"
208,"小鉢","きんぴらごぼう",43,"2017-10-24 09:36:38","2017-10-24 09:36:38"
209,"小鉢","冷奴",53,"2017-10-24 09:36:38","2017-10-24 09:36:38"
210,"小鉢","かぼちゃ煮",61,"2017-10-24 09:36:38","2017-10-24 09:36:38"
211,"小鉢","カップグラタン",34,"0000-00-00 00:00:00","0000-00-00 00:00:00"
212,"小鉢","レンコンのきんぴら",48,"2017-10-24 09:36:38","2017-10-24 09:36:38"
213,"小鉢","切り干し大根",112,"2017-10-24 09:36:38","2017-10-24 09:36:38"
214,"小鉢","ほうれん草のおひたし",12,"2017-10-24 09:36:38","2017-10-24 09:36:38"
215,"小鉢","揚げ餃子",74,"2017-10-24 09:36:38","2017-10-24 09:36:38"
216,"小鉢","マカロニサラダ",85,"2017-10-24 09:36:38","2017-10-24 09:36:38"
217,"小鉢","春雨サラダ",30,"2017-10-24 09:36:38","2017-10-24 09:36:38"
218,"小鉢","大根おろし",7,"2017-10-24 09:36:38","2017-10-24 09:36:38"
219,"小鉢","ポテト＆コーンサラダ",75,"2017-10-24 09:36:38","2017-10-24 09:36:38"
220,"小鉢","雑穀のチキンごぼうサラダ",71,"2017-10-24 09:36:32","2017-10-24 09:36:32"
